user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
L Amazan,,"....Out of the abundance of the heart, the mouth speaks... ~Luke 6:45

An LICSW currently in Business school

$LunAmazan",2013-03-06 15:38:30,213,290,26485,False,2020-08-16 03:23:22,"Still relevant today!
#COVID19 
#USPS #PoliceBrutality
#PresidentTrump 
#protests #Testing #Recession #Depression… https://t.co/s5yN0RjOSg","['COVID19', 'USPS', 'PoliceBrutality', 'PresidentTrump', 'protests', 'Testing', 'Recession', 'Depression']",Twitter for Android,False
Game Over Thirty,Earth!,In-depth game industry discussion. Inquires & requests go to joethreezero@gameoverthirty.com. YT - https://t.co/IPFbMxSlLK,2017-02-01 20:54:01,187,196,1236,False,2020-07-30 20:33:14,"Perhaps expected, #EA is rolling off an ""exceptional"" (their words) quarter. Engagement is up, revenue is up.… https://t.co/uXnNBWEyrq",['EA'],Twitter Web App,False
Travel - State Dept,"Washington, DC, USA","Official Twitter for U.S. Dept of State Bureau of Consular Affairs. On duty: Alyssa, Lori & Michelle. Tweets for informational purposes only - not legal advice.",2008-07-29 18:38:44,650779,570,2453,True,2020-08-18 18:00:50,"Have a trip planned to the beach that can’t be postponed? Don’t forget, #StormSeason lasts until Nov. Due to… https://t.co/K7DhNoy415",['StormSeason'],Hootsuite Inc.,False
Todd Gaebe,,,2016-08-05 00:41:02,29,182,122,False,2020-08-22 07:17:12,Still bored lol. #corona #coronavirus #covid #covid19 #covıd19 #virus #quarantine #quarantinelife… https://t.co/Cfgn2AWaAu,"['corona', 'coronavirus', 'covid', 'covid19', 'covıd19', 'virus', 'quarantine', 'quarantinelife']",Instagram,False
Hindustan Times,India,One of India's largest media companies. Latest news from around the world. Retweets are not endorsements,2009-04-29 10:11:34,7730287,125,2950,True,2020-08-30 08:11:15,"Chhattisgarh: Highest single-day spike in #COVID19 cases, 208 deaths in the last 29 days

(reports @riteshmishraht)… https://t.co/1hvDYzY0nI",['COVID19'],Twitter Web App,False
INDIA NARRATIVE,Delhi,News | Views | Insight,2020-03-21 15:39:41,312,54,39,False,2020-08-11 10:00:01,Bhutan's Prime Minister Lotay Tshering said that the lockdown has been enforced to identify and isolate all positiv… https://t.co/HSzhWoK1Qs,,TweetDeck,False
"Love,Uttkarsh",India,I know only one thing. That there must be Thunder Clouds.🌩,2019-03-23 18:43:28,13,47,860,False,2020-08-22 04:22:38,"#INDIAunitedtoPostponeJEE_NEET 
Today was the highest rise in COVID-19 cases. 69,878 tested positive 
 And instead… https://t.co/wnDrAF6W6b",['INDIAunitedtoPostponeJEE_NEET'],Twitter for iPhone,False
vcwcaptures,"Vancouver, British Columbia","I make gaming (let’s play) videos, and vlogs on YouTube. New videos every week!",2019-01-12 21:26:42,22,58,628,False,2020-08-30 06:27:50,"Somebody really didn’t like masks. 

“Remember when they told you masks don’t work, don’t wear them.”  

#COVID19… https://t.co/CCYMQEl5L5",['COVID19'],Twitter for iPhone,False
Fergus McPop,USA,"Love any kind of classic pop, rock, beer or pizzas. https://t.co/HaJAWMUzA5",2014-06-10 21:28:09,1029,980,81,False,2020-07-25 12:25:35,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/bfel6gyXIq",,TweetCaster for Android,False
Wanderer,,Skeptically curious,2015-04-04 19:56:09,120,996,12325,False,2020-08-30 06:47:16,"Kamala Harris - “There is no vaccine for racism. However COVID-19 is racist”

""While this virus touches us all, we… https://t.co/qISUAin2qH",,Twitter for Android,False
HorizonRC,"Huddersfield, England","Provide effective #HealthAndSafety & #Environmental risk management consultancy and training. #NEBOSH Gold Learning Partner, #Highfield Approved Training Centre",2017-01-25 14:29:39,282,1718,372,False,2020-08-13 08:18:53,"6 practical tips to help you reopen pubs safely.
We are here to support you reopen and keep open, learn more about… https://t.co/U9zDOIzVXG",,Twitter Web App,False
Sanjay Tirdiya,"Gujarat, Bharat","An #individual, never disconnected from others....


परं वैभवं नेतुमेतत् स्वराष्ट्रं ....",2010-08-10 06:49:11,221,1431,9444,False,2020-08-13 06:48:45,"#Covid19 #Covid_19
#coronavirus #CoronavirusIndia
#CoronavirusOutbreak

A good friend, scaling heights with sheer h… https://t.co/o6yCVPZKg1","['Covid19', 'Covid_19', 'coronavirus', 'CoronavirusIndia', 'CoronavirusOutbreak']",Twitter for Android,False
Ovais Jafar,"Islamabad, Pakistan","Multimedia journo, former Editor http:/Geo.tv & Editor Multimedia Geo News - Pivot & pole world; I spin it via remote control. Tweets personal, RT ≠ endorsement",2010-05-05 23:18:06,7564,1517,14553,False,2020-08-13 07:45:15,"So after a surge of positive test results in my extended family, I decided to get tested, even though I have no sym… https://t.co/6macnX0iK4",,Twitter for iPhone,False
Imperial NHS,London,"Acute London NHS trust including St Mary’s, Hammersmith, Charing Cross, Queen Charlotte’s & Chelsea and Western Eye hospitals. Supported by @ImperialCharity.",2009-02-27 15:44:29,21844,919,7411,True,2020-08-30 07:00:50,"Following recent changes to the adult audiology service due to #COVID19, we will no longer offer a walk-in service… https://t.co/bH2aRg9LWN",['COVID19'],Hootsuite Inc.,False
Robert Moore,,"Chemical Engineering graduate of Virginia Tech. Technical writer, fictional writer and author of The Neighbor, The Foundation, and The Destination. Loves dogs.",2012-07-20 18:25:37,1446,1386,59876,False,2020-08-18 16:15:51,"@virginia_tech Agree. But with the Governor's ridiculous testing limits on positives, it is likely he will shut dow… https://t.co/phBOV0yTB7",,Twitter Web App,False
dean girling,,,2018-04-26 20:14:07,80,231,2657,False,2020-08-01 16:17:23,Selling match footage in non-league may be a way of pacifying fans and earning an income 🤔 @graysathleticfc… https://t.co/smA1Updcvr,,Twitter for iPhone,False
@projectsrh,"Sydney, New South Wales","Projects RH is proudly based in Sydney embracing the best of Asia and the west. We are specialists in project investment, finance and management.",2018-10-31 08:13:17,328,4906,1459,False,2020-08-17 03:25:38,"As #COVID19 devastates #Brazil, US and India the lock-down in Victoria seems a small price to pay. #paulraftery… https://t.co/O8ErtGjOhU","['COVID19', 'Brazil', 'paulraftery']",Buffer,False
Avatariska123gamer,,Yellow :D I`m making gaming videos and tutorials for survival games. Come and join my channel and you will be more that welcome to subscribe :),2020-07-26 03:30:21,33,153,5,False,2020-08-13 07:43:25,"Grounded gameplay. New base location, bombardier beetle, weaver and lure... https://t.co/0B9mEhv6qn via @YouTube… https://t.co/Ed5mrL3OQ2",,Twitter Web App,False
Tigress,,,2020-01-24 22:57:33,422,343,19703,False,2020-08-13 07:22:50,"@Dr2NisreenAlwan @Jt81091671 Around 2 months on a ventilator 60 days appears to be around the norm, 50% die.
Are Go… https://t.co/o4ofMFtgTv",,Twitter Web App,False
Stacy Butler,"Tucson, AZ","Director, Innovation for Justice, Univ. of Ariz. Law.  Tweets are my own.",2017-09-27 16:16:49,636,337,1106,False,2020-07-25 11:40:16,Talking to ⁦@WBUR⁩ about the 17-28 million renter households at risk of #eviction during #COVID19.… https://t.co/VozL99cJ7g,"['eviction', 'COVID19']",Twitter for iPhone,False
Satya Prakash Dash,"ad-interim pause in Berlin, DE","Founding Team @BIRAC_2012, Board @venture_center FoundingDirector @PATHtweets ImpactLab Designed 15 natl prog #BIG #SPARSH #SIIP #BioNEST #BREC #BRIC #AcE #SEED",2009-07-26 22:09:10,1045,807,1,False,2020-08-08 10:37:40,"I love the #GIF! &amp; great messaging @Centogene 
#TestBeforeYouTravel #COVID19 https://t.co/MMqyHMJWP5","['GIF', 'TestBeforeYouTravel', 'COVID19']",Twitter Web App,False
Sheikh Jahangir,Jammu And Kashmir ,Writter | Content creator | Speaker | Media | Social Works | Management | Tweets and views are purely personal!,2017-01-23 11:39:03,1277,380,3296,False,2020-08-17 04:50:01,"On his birthday,the cop @AskSheikhAadil deserve every respect by making decent efforts during fear season of… https://t.co/YYpRxNQhu2",,Twitter for Android,False
MP Biomedicals,"Irvine, CA","A worldwide corporation that manufactures and distributes over 8,000 products for the life science, fine chemicals and diagnostics markets.",2013-04-29 23:26:18,183,312,224,False,2020-08-12 07:02:00,"NEW COVID-19 ELISA Kits for the quantitative detection of IgG, IgM and nucleoprotein. https://t.co/n9bKjARuC1… https://t.co/tLtE5IhngH",,Twitter Web App,False
"Sam Bayat, Esq.",Dubai (U.A.E.),"Corporate migration, Int'l residence & citizenship specialist, solving problems & creating solutions.",2010-06-09 03:32:45,27943,441,1384,False,2020-07-28 06:33:04,"It is unclear until now what the pandemic is leading to

https://t.co/oM5gYZkGnl

#COVID19 #Pandemic #Economics","['COVID19', 'Pandemic', 'Economics']",Twitter Web App,False
Erica,"South Florida, USA",Mom. From North Jersey. Living in So. FL. Smartass. Work in progress. NYG. NYY. WVU.,2014-10-12 20:38:21,2383,4113,123739,False,2020-08-01 17:49:36,My own piece of paradise. At least I have nice view while stuck at home. My backyard/mini-jungle. #SouthFlorida… https://t.co/LPo7o8RrS1,['SouthFlorida'],Twitter for Android,False
Dushyant Vachhani,,,2010-02-11 00:42:17,33,44,35,False,2020-08-14 03:29:58,@btswluv5 @ot7pinz_ Do in person #EarlyVoting (able &amp; willing) as it gets counted on Nov-3 EOD. e.g. #Florida's ear… https://t.co/kVAn8lsSaO,"['EarlyVoting', 'Florida']",Twitter Web App,False
Tom Swain,"Brentwood, TN",,2010-10-25 04:21:37,71,124,15,False,2020-08-06 15:05:01,The IRS has issued Notice 2020-52 which clarifies the requirements for a mid-year amendment to a safe harbor 401(k)… https://t.co/LJ6iMveJmS,,HubSpot,False
Robert Marten,"Geneva, Switzerland","Work @AllianceHPSR @WHO on #HealthSystems, #PHC, #NCDs, #STAX, #PlanetaryHealth. @LSHTM PhD. Former @RockefellerFdn @WHOSierraLeone @WHO India. @CFR_org Member.",2012-03-11 20:26:18,7895,1000,37020,True,2020-08-06 16:39:26,"Congratulations to @NordstrmAnders! Good news for @WHO, good news for @HelenClarkNZ &amp; @MaEllenSirleaf, good news fo… https://t.co/09gswmrNzi",,Twitter for iPhone,False
Dawkins Brown,Jamaica,Dawkins Brown is a Chartered Accountant and is the Executive Chairman of Dawgen Global,2010-05-24 20:05:46,784,237,588,False,2020-08-22 07:00:03,"Dawgen Global Insights for July 2020 is out!! Get your copy now from here:https://t.co/RtkW94WtHR

#dawgenglobal… https://t.co/MH9OaA9i57",['dawgenglobal'],Twitter Web App,False
Elizabeth,,List=Immediate Block ! Blocked by Dana Loesch,2016-03-06 02:18:28,516,659,43931,False,2020-08-07 12:54:00,"A new record !!! @realDonaldTrump 160,000 dead Americans from #COVID19 &amp; still you FAIL to implement a national pol… https://t.co/oGSx37Ktmk",['COVID19'],Twitter for iPhone,False
Joe Waiganjo,,Web Developer and Designer,2018-08-11 19:53:05,166,819,3705,False,2020-08-02 20:48:23,#EmailMarketing #BBNaijaLockdown   #COVID19  #website #SmallBusiness #StartUp #Entreprise #Entrepreneur #Mompreneur… https://t.co/5s98tjA7YX,"['EmailMarketing', 'BBNaijaLockdown', 'COVID19', 'website', 'SmallBusiness', 'StartUp', 'Entreprise', 'Entrepreneur', 'Mompreneur']",Twitter Web App,False
Postcards From The Edge,"90.0000° N, 135.0000° W","Having been pushed to the edge by society, this mild mannered man chose an outlet for his pain. That outlet was sending postcards from the edge.",2020-08-15 15:05:39,5,50,2,False,2020-08-22 06:03:28,"Simple question: Are you better off today than you were 4 years ago?
#poll #trump #biden #Election2020 #COVID19 #coronavirus #polls","['poll', 'trump', 'biden', 'Election2020', 'COVID19', 'coronavirus', 'polls']",Twitter for Android,False
Malcolm Cesar,Atlanta,Creator of The Super Affiliate Bizleads Automation Summit,2019-10-25 23:55:32,138,269,61,False,2020-07-27 01:42:21,PART 1: It’s been a crazy year so far with all of this COVID-19 stuff and there are plenty of challenges for everyo… https://t.co/pWandzBK0m,,Twitter Web App,False
LKtolive,Earth,Writer.Photographer.Entrepreneur.#PinkPatriot,2015-04-22 04:18:18,297,292,10594,False,2020-07-31 18:13:29,"@amyklobuchar Here is an idea. Just let venues open. Stop the crisis creation.  

Think how angry people will be wh… https://t.co/Ig84X8GbTY",,Twitter for iPhone,False
The Pioneer,,Twitter account of India's leading independent right-thinking newspaper.,2012-01-21 16:23:26,22663,109,91,True,2020-07-25 07:03:36,"#CoronaVirusPaksitan: #Pakistan reported 1,487 new #COVID19 cases in the last 24 hours, taking the nationwide tally… https://t.co/azfBp39JlM","['CoronaVirusPaksitan', 'Pakistan', 'COVID19']",Twitter Web App,False
Bakehouse Cottage aka Helen #FBPE,"England, United Kingdom",Helen Holdsworth. Political Theorist.  Views my own. Keep going my friends - though I'm not quite sure where we're going right now!,2016-02-23 21:56:27,9168,4861,61662,False,2020-08-06 15:19:43,"Another govt #COVID19 scandal...

Some 10,000 contact tracers employed by outsourcing giant Serco have only spoken… https://t.co/vfTCCzVrcR",['COVID19'],Twitter Web App,False
BPM,,,2009-04-30 02:34:17,437,777,12251,False,2020-07-28 03:13:02,"Clyde Edwards-Helaire Saw the Effects of COVID-19 Firsthand — 'For Me, it Hits Home' ⁦@SEC⁩ ⁦@NCAA⁩ All on you!… https://t.co/5cBxO0euYC",,Twitter for iPhone,False
Mike,USA,Veteran US Navy Hospital Corpsman. Parler ID: mikeandersonsr #maga,2010-01-14 20:36:18,64902,61874,85098,False,2020-08-12 08:51:46,"I’ve noticed a new #COVID19 claim by liberals now that the mortality rate is below the flu, and recovery is &gt;98%.… https://t.co/rjfbcqXA6T",['COVID19'],Twitter for iPhone,False
Mazi Omaiye Ghost®️ 🇳🇬🇨🇦,UNICRON 🌍 ,"In Pursuit of 
Perfection 
Peace and 
Happiness (Money 💰)
Into #Bitcoin and #Ethereum 
FUCK RELIGION",2011-01-08 02:48:52,1259,1452,1969,False,2020-08-29 22:25:34,"Still wondering how many years it took @BillGates and Co to plan out the #COVID19 FAKE Pandemic Virus 
How many yea… https://t.co/zXTvhOLKBq",['COVID19'],Twitter for Android,False
SharePresentation,Worldwide,"SharePresentation is a web platform that lets users upload and share presentations (PPT, PPSX, PPTX, PDF) and documents. #presentation #SharePresentation",2016-11-22 12:06:13,525,1100,31,False,2020-08-11 07:09:44,Brazil has the second-highest number of confirmed COVID-19 cases in the world. See the following presentation to kn… https://t.co/5SPn4dRDbM,,Twitter Web App,False
Balkan Insight,,"News, Reports, Analysis, Investigations and Opinions about trending issues in Southern and Eastern Europe. Published by @BIRN_Network",2009-04-18 09:02:06,51944,659,421,True,2020-08-14 07:07:26,"Your Friday briefing:

🏳️‍🌈 Bosnia’s #LGBT activists vow to fight on despite cancelled march.

🇲🇰 #COVID19 puts jus… https://t.co/DAcwBuz0ie","['LGBT', 'COVID19']",Twitter Web App,False
Thaba Lodge Black Rhino Reserve,BlackRhino Reserve Pilanesberg,Private Self-catering luxury 10 sleeper safari lodge with professionally guided game drives included in the Black Rhino Pilanesberg Big 5 game reserve,2018-09-14 14:10:55,217,580,6716,False,2020-08-13 09:01:20,"We are ready to share our beautiful lodge with you😊 

Contact info@thabalodge.co.za 
 
#Level2 #COVID19… https://t.co/FdoOr3azWl","['Level2', 'COVID19']",Twitter for iPhone,False
Chimére L. Smith,"Baltimore, MD",Middle School ELA; Reader; Lover of Cake; COVID-19 Survivor.,2010-08-17 22:29:07,538,416,416,False,2020-08-30 01:05:44,"Ok, #COVID19 Long Haulers, since most of the time we must rest, watch the first season of #TheBoys. It is such a go… https://t.co/yyV6QGj1sf","['COVID19', 'TheBoys']",Twitter for iPhone,False
www.THEPIGEONEXPRESS.com,online,The Pigeon Express @PigeonExpress_ || News Feed Loop,2018-10-30 05:54:46,1034,110,4109,False,2020-08-08 13:23:49,Venezuelans who break coronavirus rules made to sit under the sun. #Venezuela #Caracas #Tachira #Sun #Coronavirus… https://t.co/j96iokKOVS,"['Venezuela', 'Caracas', 'Tachira', 'Sun', 'Coronavirus']",TweetDeck,False
PNA New York,facebook.com/pnanewyork,"The Philippine Nurses Association of New York, Inc. will strive to promote the highest standards of professional nursing practice.",2009-03-16 01:16:59,1407,1503,382,False,2020-08-06 14:54:51,"Online Live-streaming Event
Saturday, August 8, 2020,  2-3pm,  EST
FILIPINO AMERICAN HEALTH FORUM on #COVID19
Serie… https://t.co/UBr9jzq4p6",['COVID19'],Twitter Web App,False
99X Technology,"Colombo, Sri Lanka","A leading software engineering company headquartered in Colombo, Sri Lanka with offices in Oslo, Norway, serving established and start-up ISVs",2010-02-25 12:04:16,3098,226,512,False,2020-07-28 04:23:09,"""Our priorities throughout the pandemic have been the safety and wellbeing of our people, and to save every job by… https://t.co/YqwDdfqZ2Z",,Twitter Web App,False
Dr. Thomas Wilckens,"München, Bayern","MD #PrecisionMedicine leader: Changing the way we diagnose, treat and eventually prevent disease #Innovation #Healthcare #Medicine #MachineLearning #AI #omics",2013-10-22 14:46:04,3562,3135,10611,False,2020-07-27 06:08:02,Missed it: Did #herdimmunity' change the course of the outbreak? #coronavirus #pandemic #covid19… https://t.co/bv6x155DiY,"['herdimmunity', 'coronavirus', 'pandemic', 'covid19']",Buffer,False
World Summit on the Information Society (WSIS),"Geneva, Switzerland",WSIS process is coordinated by @ITU in collaboration with @UNESCO @UNDP @UNCTAD to promote ICTs for achieving @UN Sustainable Development Goals #WSIS #ICT4SDG,2009-12-17 09:06:01,7424,902,1395,False,2020-08-12 07:27:03,⏰Join us today August 12 at 12:00 CEST for our session on: Universities and Digital Transformation- Iran University… https://t.co/KztgdyAVB9,,Twitter Web App,False
Claudia Mellenthin🇨🇭,"Schmitten (FR), Freiburg","Primary care, with my patients leading their treatment. Clinical teacher, pancreatic cancer research, pancreatic cancer awareness.",2015-03-25 18:49:02,1063,1363,11989,False,2020-08-18 16:46:26,"I really love towns, and I love public transport. I have a GA, a ticket for all of 🇨🇭for a year. #COVID19 has chang… https://t.co/1VRw3QTA91",['COVID19'],Twitter for iPhone,False
Rudi Holtzhausen,Cape Town,Experienced Clinical Nursing Specialist Passionate about advancing healthcare & HCP & HCW safety Humanitarian Global Health Fellow Ebola outbreak volunteer 🇿🇦,2009-11-21 09:12:59,192,483,620,False,2020-08-02 19:56:43,"Gloves &amp; medical masks is not for the public #COVID19 Physical distancing, cough etiquette,  (respiratory protectio… https://t.co/LLJZH1W3zG",['COVID19'],Twitter for Android,False
TREK WITH BEK PROJECT,"Clearwater, Florida","trek & connect w/ 💧stories & solutions that spans the globe | eco & 💧solutions strategist | clearwater, fl",2017-11-05 14:17:16,31,91,29,False,2020-07-27 03:46:34,"JULY UPDATES

Explore more ⬇️
https://t.co/A36cDfbaV0

-Bek, Eco &amp; Water Solutions Strategist 

😷🦠🚱🚰💧🇺🇸🌍
#COVID19… https://t.co/m5X0hnHFZ3",['COVID19'],Twitter Web App,False
@Hibob_hr,"New York, London, and Tel Aviv","#sayhitobob, the #peoplemanagement platform #HRIS that drives remote culture and engagement #hrtech #EmployeeEngagement",2015-11-02 10:57:03,1998,2298,3570,False,2020-08-17 04:30:01,"Many changes are happening right now, and employees all over the world want to know what will happen next. Here are… https://t.co/4yPLADR0Yq",,Oktopost,False
NANCY,USA,FORMERLY W/@9NEWS★OPINIONS ARE MINE★PATRIOT★ProLife★2A★ MAGA★NAVY★Schoolw/Øbama★ RETWEETS Go GLOBAL👍🏼-FAVES R NOT SEEN ➖FB: @PragerU @GenFlynn et al,2012-01-04 02:38:05,92075,48242,67012,False,2020-08-01 17:39:59,"@doug_dd @SaraCarterDC Before you start accusing Sara read this.

These tests were UNOPENED and were returned as al… https://t.co/HeOkmg6P7h",,Twitter for iPad,False
Adrienne G 😷🏠🧴🧼,"Hertfordshire & Wiltshire, UK","Travelbug, cyclist and bookaholic. Like dogs too.",2009-04-07 18:31:04,298,2041,7043,False,2020-08-22 04:34:04,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y… https://t.co/v5JaJFbRlk",['COVID19'],Twitter for iPad,False
Lifelong Social Distancing Expert 🥇,"Marietta, GA","CPA, Progressive, #HailWVU, environmentalist, animal lover, science, Keynesian Economics. #BLM ally #LGBTQ ally, #RESISTANCE #BlueWave #GoOwls",2016-06-22 18:52:58,7715,7681,88218,False,2020-07-26 08:08:31,@CorruptBobby @KodoAndSangha @acl1008 @ByMikeBaker Yep. Just like 20M more of us in Trump’s America. If only this a… https://t.co/fXLuMuHQAB,,Twitter for iPad,False
Jenn Burrill,New Mexico,Defender of Justice,2012-06-29 21:33:44,1410,2138,47761,False,2020-08-22 03:47:07,I am so excited to watch this #circus that will be a live broadcast of #criminal activity since the @RNC is holding… https://t.co/Chy6XOi47B,"['circus', 'criminal']",Twitter for Android,False
IANS Tweets,New Delhi,India's largest independent News Agency,2010-05-08 13:21:45,52355,45,65,True,2020-07-28 05:37:37,#Singaporean Prime Minister #LeeHsienLoong (@leehsienloong) has vowed to get the #economy going again amid the… https://t.co/LKfc3bMJE7,"['Singaporean', 'LeeHsienLoong', 'economy']",Twitter Web App,False
